"","Stock1","Stock2","MatchPercentage","Cor","Cointegration"
"1","SH600037","SH600073","0.757009345794392","0.670751513376446","0.433006431044632"
"2","SH600037","SH600655","0.803738317757009","0.623962369594564","0.835188912273742"
"3","SH600037","SH601908","0.757009345794392","0.639666807485673","0.615814968334405"
"4","SH600037","SZ002027","0.775700934579439","0.769306802243394","0.01"
"5","SH600037","SZ002093","0.757009345794392","0.673360226155485","0.212163564955494"
"6","SH600037","SZ002545","0.775700934579439","0.732950440743685","0.334577246311471"
"7","SH600039","SH600131","0.757009345794392","0.739524516813993","0.0262289157641755"
"8","SH600039","SH601872","0.766355140186916","0.727344594708209","0.921975810244212"
"9","SH600039","SZ000418","0.757009345794392","0.703766082822751","0.515917476736772"
"10","SH600054","SH600073","0.766355140186916","0.665202935307698","0.0220537524866357"
"11","SH600054","SH600480","0.775700934579439","0.585830797109045","0.266746643213886"
"12","SH600054","SH600650","0.766355140186916","0.610099675883709","0.735940963724285"
"13","SH600054","SZ002123","0.766355140186916","0.713876710332817","0.0383331632033427"
"14","SH600073","SH600310","0.757009345794392","0.584854355508433","0.330466817191742"
"15","SH600073","SH600650","0.775700934579439","0.767096787403681","0.755466352668968"
"16","SH600073","SH600655","0.766355140186916","0.739368965162816","0.603140538887694"
"17","SH600073","SH600677","0.766355140186916","0.70927495172512","0.192572962126703"
"18","SH600073","SH600755","0.766355140186916","0.591350103697368","0.90581013643559"
"19","SH600073","SH600796","0.757009345794392","0.699732161109907","0.402003791617477"
"20","SH600073","SZ000565","0.794392523364486","0.712395740980477","0.158687691615711"
"21","SH600073","SZ002093","0.775700934579439","0.694803800086331","0.583145786259676"
"22","SH600073","SZ002123","0.757009345794392","0.705593779646653","0.01"
"23","SH600073","SZ002335","0.785046728971963","0.738718045755086","0.01"
"24","SH600073","SZ002394","0.775700934579439","0.798594987280209","0.01"
"25","SH600073","SZ002531","0.785046728971963","0.666103415512479","0.0450155583095817"
"26","SH600076","SH600131","0.766355140186916","0.779147121791332","0.981829506147994"
"27","SH600076","SZ000836","0.757009345794392","0.755056478975752","0.99"
"28","SH600093","SH600310","0.766355140186916","0.628220461195706","0.547204312723521"
"29","SH600094","SH600159","0.757009345794392","0.666130584032204","0.873754593702338"
"30","SH600094","SH600755","0.757009345794392","0.556456792524155","0.96807318507179"
"31","SH600094","SZ000926","0.757009345794392","0.666357745199372","0.99"
"32","SH600131","SH600151","0.775700934579439","0.699475221893018","0.43685991235836"
"33","SH600131","SH600353","0.785046728971963","0.694463203319198","0.76742454445199"
"34","SH600131","SH600650","0.757009345794392","0.671740007241665","0.449372842720339"
"35","SH600131","SH600796","0.757009345794392","0.796398321997399","0.531432233477972"
"36","SH600131","SZ000829","0.757009345794392","0.636656153446422","0.230677415832982"
"37","SH600131","SZ002123","0.757009345794392","0.753272889811771","0.176777681127072"
"38","SH600131","SZ002394","0.803738317757009","0.739269477378571","0.0754927806270016"
"39","SH600131","SZ002531","0.757009345794392","0.645790475630944","0.0544836780605744"
"40","SH600131","SZ002585","0.766355140186916","0.734761655159693","0.595506349155125"
"41","SH600151","SZ002139","0.775700934579439","0.73222238789079","0.330231782181148"
"42","SH600159","SH600310","0.766355140186916","0.652427405165853","0.411448840822577"
"43","SH600159","SH600650","0.775700934579439","0.64651326421686","0.548533615108315"
"44","SH600159","SH600683","0.766355140186916","0.748329331725845","0.01"
"45","SH600159","SH600684","0.785046728971963","0.736073076780587","0.0785076184688634"
"46","SH600159","SH600743","0.757009345794392","0.827619840800713","0.0288640382868788"
"47","SH600159","SH600748","0.757009345794392","0.742098099411242","0.537622560892759"
"48","SH600159","SH600755","0.766355140186916","0.55644815554608","0.803415878134313"
"49","SH600159","SH601588","0.785046728971963","0.775367617252542","0.723216453217323"
"50","SH600159","SZ000031","0.794392523364486","0.630516871949212","0.685839662514154"
"51","SH600159","SZ000040","0.831775700934579","0.719711191699644","0.292222807684663"
"52","SH600159","SZ000537","0.766355140186916","0.856458984906358","0.01"
"53","SH600159","SZ000667","0.775700934579439","0.694291443385378","0.365544917518669"
"54","SH600159","SZ000926","0.803738317757009","0.75580923908452","0.669658112060639"
"55","SH600159","SZ000965","0.766355140186916","0.647716757903744","0.0494843961380496"
"56","SH600172","SH600590","0.766355140186916","0.73659870191208","0.377741233102708"
"57","SH600172","SZ002123","0.775700934579439","0.797302948588203","0.01"
"58","SH600172","SZ002166","0.766355140186916","0.752370982915737","0.0508681724559796"
"59","SH600172","SZ002545","0.757009345794392","0.830053072040406","0.0541787962710797"
"60","SH600172","SZ002636","0.775700934579439","0.801377319888698","0.526474463393787"
"61","SH600172","SZ300065","0.766355140186916","0.778424940240807","0.697354883904231"
"62","SH600172","SZ300185","0.757009345794392","0.794505276010284","0.396986032237359"
"63","SH600188","SH600362","0.757009345794392","0.793329258659077","0.125590435943676"
"64","SH600188","SH600415","0.785046728971963","0.726219412522967","0.478295371214156"
"65","SH600188","SH600595","0.794392523364486","0.649698153522126","0.931342610228346"
"66","SH600188","SH600743","0.766355140186916","0.636381315440914","0.550462497219206"
