Date, SZ002081.Open, SZ002081.High, SZ002081.Low, SZ002081.Close, SZ002081.Volume, SZ002081.Adjusted
2006/11/20,20.09,21.68,19.79,19.84,13360919,20.69
2006/11/21,20.62,21.82,20.62,21.82,4780095,21.45
2006/11/22,22.08,24.00,21.87,24.00,6633027,22.87
2006/11/23,23.79,24.64,23.22,24.47,3713432,23.89
2006/11/24,24.00,24.50,23.50,23.90,1640099,23.91
2006/11/27,24.05,24.30,23.60,24.10,1394850,23.95
2006/11/28,23.79,23.80,22.30,22.85,2439212,22.79
2006/11/29,22.40,23.20,21.88,22.80,1323530,22.83
2006/11/30,22.88,23.48,22.56,22.79,1386174,22.97
2006/12/01,22.97,23.79,22.58,23.67,1657854,23.26
2006/12/04,23.55,25.59,23.48,24.70,1930800,24.45
2006/12/05,24.51,25.16,24.33,24.51,1399120,24.64
2006/12/06,24.49,24.59,22.80,23.78,1098018,23.98
2006/12/07,23.50,24.20,23.18,23.36,624308,23.55
2006/12/08,23.10,23.15,22.30,22.50,780490,22.62
2006/12/11,22.50,22.98,22.50,22.98,514328,22.73
2006/12/12,23.18,23.18,21.98,22.90,742922,22.58
2006/12/13,22.83,23.81,22.50,23.81,837213,23.30
2006/12/14,23.58,24.25,23.20,23.95,908997,23.85
2006/12/15,23.50,24.18,23.50,24.00,737500,23.93
2006/12/18,23.80,25.00,23.80,24.75,1030006,24.55
2006/12/19,24.73,26.08,24.73,25.68,1368448,25.57
2006/12/20,25.65,26.20,24.98,25.69,725792,25.57
2006/12/21,25.66,25.96,24.50,24.60,1066299,25.05
2006/12/22,24.56,24.56,23.98,24.05,523120,24.20
2006/12/25,24.40,24.76,24.01,24.17,415183,24.44
2006/12/26,24.09,24.35,23.30,23.51,451725,23.69
2006/12/27,23.38,23.75,23.37,23.46,729600,23.52
2006/12/28,23.55,23.70,22.99,23.35,642745,23.22
2006/12/29,23.55,24.29,23.46,24.00,484940,24.08
2007/01/04,23.76,24.26,23.51,23.51,478700,23.91
2007/01/05,23.51,25.70,23.51,25.30,818416,25.09
2007/01/08,24.92,26.00,24.92,25.64,582858,25.44
2007/01/09,25.71,26.65,25.35,25.74,886215,26.16
2007/01/10,25.74,26.14,25.18,26.00,492803,25.69
2007/01/11,26.00,27.68,26.00,26.90,835501,26.69
2007/01/12,26.00,27.68,26.00,26.90,0,26.84
2007/01/15,26.05,29.10,25.00,29.04,1357576,27.92
2007/01/16,29.50,31.94,29.50,31.90,2833464,30.54
2007/01/17,32.35,32.47,29.60,29.91,1420938,31.46
2007/01/18,30.15,31.43,28.96,30.10,1006210,29.62
2007/01/19,30.28,32.30,30.20,31.60,646458,31.28
2007/01/22,32.60,34.45,32.50,33.41,924531,33.23
2007/01/23,33.40,33.58,32.10,33.20,1148501,33.11
2007/01/24,33.00,33.00,31.74,32.80,1168889,32.29
2007/01/25,32.59,32.59,30.61,30.75,1082009,31.91
2007/01/26,30.00,31.00,29.11,30.50,850429,29.79
2007/01/29,30.60,32.12,30.30,32.00,481348,31.21
2007/01/30,32.00,33.20,31.82,32.80,814566,32.63
2007/01/31,32.20,32.80,30.09,30.20,532759,31.17
2007/02/01,29.67,30.85,29.50,30.06,420858,30.11
2007/02/02,30.10,30.22,28.70,28.80,814031,29.47
2007/02/05,28.86,30.18,28.86,29.40,262717,29.84
2007/02/06,29.12,30.69,29.12,30.69,249314,29.91
2007/02/07,30.82,30.87,29.66,30.20,927176,30.07
2007/02/08,30.26,32.80,29.60,32.80,794329,30.82
2007/02/09,32.00,32.30,30.80,32.01,679028,31.89
2007/02/12,31.89,33.18,31.89,32.68,756517,32.85
2007/02/13,32.68,32.89,31.50,31.90,413331,31.91
2007/02/14,32.50,32.68,31.12,32.10,749942,31.57
2007/02/15,32.11,33.17,31.81,33.08,831720,32.60
2007/02/16,33.50,33.85,32.51,33.00,499653,33.02
2007/02/26,32.80,33.00,31.96,31.98,1644580,32.33
2007/02/27,31.99,32.24,28.78,29.00,1583850,30.75
2007/02/28,28.96,29.80,28.56,29.65,751197,29.10
2007/03/01,29.49,29.49,28.01,28.50,440342,28.65
2007/03/02,28.50,29.90,28.30,29.50,482023,29.22
2007/03/05,29.30,29.96,28.50,29.16,302002,29.37
2007/03/06,28.80,29.20,28.31,28.98,358470,28.75
2007/03/07,29.10,29.90,28.75,29.80,407227,29.40
2007/03/08,29.80,29.90,29.30,29.79,287451,29.55
2007/03/09,29.88,30.43,29.65,30.00,433588,30.04
2007/03/12,30.15,30.40,29.80,30.19,448003,30.08
2007/03/13,29.52,30.18,29.52,29.90,763470,29.94
2007/03/14,29.88,31.68,29.58,31.28,736081,30.76
2007/03/15,31.00,31.90,30.76,31.78,727576,31.30
2007/03/16,31.80,32.00,31.45,31.69,656236,31.71
2007/03/19,31.00,32.70,30.22,32.08,475000,32.04
2007/03/20,32.40,32.40,31.00,32.00,434567,31.58
2007/03/21,31.69,32.00,31.30,31.90,386463,31.67
2007/03/22,31.89,32.67,31.50,31.99,471144,31.98
2007/03/23,31.60,31.90,30.90,31.60,423291,31.41
2007/03/26,31.50,31.81,31.30,31.61,449855,31.58
2007/03/27,31.50,33.09,31.50,32.98,836752,32.85
2007/03/28,36.00,36.28,34.63,36.28,1736472,36.18
2007/03/29,35.80,35.80,32.98,33.51,1807412,34.00
2007/03/30,33.44,35.80,33.00,34.87,1237540,34.62
2007/04/02,34.87,37.80,34.00,36.00,1777144,36.27
2007/04/03,35.98,36.01,35.00,35.36,711351,35.59
2007/04/04,35.00,35.60,34.21,34.40,713139,34.76
2007/04/05,34.40,35.15,34.20,35.00,253445,34.70
2007/04/06,34.41,35.00,34.21,34.78,435060,34.57
2007/04/09,34.80,35.00,34.15,34.80,796273,34.54
2007/04/10,34.80,35.19,34.14,34.49,620701,34.34
2007/04/11,34.53,34.79,33.51,33.90,870741,34.09
2007/04/12,33.93,36.50,33.93,36.00,1675437,35.12
2007/04/13,36.00,36.20,35.05,35.12,961293,35.66
2007/04/16,35.32,35.99,35.31,35.58,660819,35.57
2007/04/17,35.58,35.96,34.45,34.73,1136200,35.06
