Date,SH600416.Close
2012/01/01,6.49
2012/01/02,7.51
2012/01/03,7.44
2012/02/01,7.595
2012/02/02,7.92
2012/02/03,8.13
2012/03/01,8.88
2012/03/02,8.95
2012/03/03,8.205
2012/04/01,7.52
2012/04/02,8.1
2012/04/03,8.12
2012/05/01,7.79
2012/05/02,7.72
2012/05/03,7.44
2012/06/01,7.155
2012/06/02,7.2
2012/06/03,6.745
2012/07/01,6.54
2012/07/02,6.115
2012/07/03,5.88
2012/08/01,5.745
2012/08/02,5.555
2012/08/03,6.3
2012/09/01,6.395
2012/09/02,6.07
2012/09/03,5.53
2012/10/01,5.69
2012/10/02,5.51
2012/10/03,5.495
2012/11/01,5.34
2012/11/02,4.86
2012/11/03,4.705
2012/12/01,4.5
2012/12/02,4.915
2012/12/03,5.02
2013/01/01,5.17
2013/01/02,5.305
2013/01/03,5.09
2013/02/01,4.94
2013/02/02,5.11
2013/02/03,5.235
2013/03/01,5.72
2013/03/02,5.61
2013/03/03,5.58
2013/04/01,5.24
2013/04/02,5.1
2013/04/03,4.88
2013/05/01,5.23
2013/05/02,5.69
2013/05/03,5.99
2013/06/01,5.91
2013/06/02,5.345
2013/06/03,4.815
2013/07/01,4.84
2013/07/02,5.26
2013/07/03,4.97
2013/08/01,5.09
2013/08/02,5.82
2013/08/03,5.82
2013/09/01,5.46
2013/09/02,5.645
2013/09/03,6.55
2013/10/01,6.86
2013/10/02,7.185
2013/10/03,6.73
2013/11/01,6.41
2013/11/02,6.435
2013/11/03,7.0
2013/12/01,7.11
2013/12/02,6.965
2013/12/03,6.78
2014/01/01,6.28
2014/01/02,6.28
2014/01/03,7.24
2014/02/01,7.505
2014/02/02,8.55
2014/02/03,9.57
2014/03/01,9.86
2014/03/02,9.44
2014/03/03,9.73
2014/04/01,9.03
2014/04/02,9.66
2014/04/03,9.05
2014/05/01,8.53
2014/05/02,8.58
2014/05/03,8.765
2014/06/01,9.11
2014/06/02,9.215
2014/06/03,9.325
2014/07/01,9.68
2014/07/02,9.92
2014/07/03,10.4
2014/08/01,11.005
2014/08/02,11.25
2014/08/03,10.97
2014/09/01,12.13
2014/09/02,12.27
2014/09/03,12.51
2014/10/01,12.6
2014/10/02,11.975
2014/10/03,11.63
2014/11/01,11.59
2014/11/02,10.89
2014/11/03,11.32
2014/12/01,11.57
2014/12/02,12.82
2014/12/03,12.015
