Date,SZ300309.Close
2012/04/01,7.52
2012/04/02,7.255
2012/04/03,6.86
2012/05/01,7.13
2012/05/02,6.895
2012/05/03,6.97
2012/06/01,6.79
2012/06/02,6.965
2012/06/03,7.085
2012/07/01,7.62
2012/07/02,7.7
2012/07/03,8.07
2012/08/01,8.255
2012/08/02,8.52
2012/08/03,8.83
2012/09/01,9.735
2012/09/02,9.765
2012/09/03,8.775
2012/10/01,9.03
2012/10/02,9.65
2012/10/03,8.565
2012/11/01,8.15
2012/11/02,7.67
2012/11/03,6.96
2012/12/01,7.205
2012/12/02,7.17
2012/12/03,8.18
2013/01/01,8.22
2013/01/02,8.36
2013/01/03,8.11
2013/02/01,7.815
2013/02/02,8.04
2013/02/03,8.27
2013/03/01,8.395
2013/03/02,7.75
2013/03/03,8.95
2013/04/01,8.61
2013/04/02,8.99
2013/04/03,8.99
2013/05/01,8.99
2013/05/02,8.99
2013/05/03,10.42
2013/06/01,9.56
2013/06/02,9.415
2013/06/03,8.125
2013/07/01,8.215
2013/07/02,9.37
2013/07/03,9.445
2013/08/01,9.39
2013/08/02,8.87
2013/08/03,8.76
2013/09/01,8.19
2013/09/02,7.985
2013/09/03,8.53
2013/10/01,9.21
2013/10/02,9.535
2013/10/03,9.72
2013/11/01,9.905
2013/11/02,10.74
2013/11/03,10.46
2013/12/01,10.12
2013/12/02,9.64
2013/12/03,9.26
2014/01/01,9.32
2014/01/02,9.135
2014/01/03,9.62
2014/02/01,10.225
2014/02/02,10.11
2014/02/03,9.365
2014/03/01,9.885
2014/03/02,9.815
2014/03/03,10.52
2014/04/01,9.82
2014/04/02,9.595
2014/04/03,9.16
2014/05/01,8.68
2014/05/02,8.44
2014/05/03,8.72
2014/06/01,8.795
2014/06/02,9.0
2014/06/03,9.755
2014/07/01,9.855
2014/07/02,9.875
2014/07/03,9.4
2014/08/01,10.41
2014/08/02,11.025
2014/08/03,10.9
2014/09/01,11.39
2014/09/02,12.11
2014/09/03,12.16
2014/10/01,11.82
2014/10/02,11.29
2014/10/03,10.79
2014/11/01,10.85
2014/11/02,10.3
2014/11/03,11.18
2014/12/01,10.505
2014/12/02,11.07
2014/12/03,9.55
