Date,SZ000869.Close
2012/01/01,75.68
2012/01/02,75.25
2012/01/03,68.64
2012/02/01,69.28
2012/02/02,71.475
2012/02/03,72.98
2012/03/01,72.48
2012/03/02,74.01
2012/03/03,71.55
2012/04/01,68.075
2012/04/02,68.865
2012/04/03,67.46
2012/05/01,71.58
2012/05/02,70.43
2012/05/03,69.61
2012/06/01,68.035
2012/06/02,68.6
2012/06/03,68.01
2012/07/01,66.27
2012/07/02,63.05
2012/07/03,58.88
2012/08/01,58.545
2012/08/02,53.41
2012/08/03,51.21
2012/09/01,47.99
2012/09/02,47.98
2012/09/03,42.73
2012/10/01,45.44
2012/10/02,46.16
2012/10/03,43.545
2012/11/01,41.46
2012/11/02,38.86
2012/11/03,39.615
2012/12/01,36.975
2012/12/02,42.675
2012/12/03,43.95
2013/01/01,45.66
2013/01/02,43.675
2013/01/03,42.11
2013/02/01,40.53
2013/02/02,42.06
2013/02/03,43.09
2013/03/01,43.225
2013/03/02,38.2
2013/03/03,36.29
2013/04/01,33.735
2013/04/02,33.81
2013/04/03,34.56
2013/05/01,34.89
2013/05/02,35.51
2013/05/03,39.3
2013/06/01,39.51
2013/06/02,36.495
2013/06/03,32.085
2013/07/01,32.37
2013/07/02,32.71
2013/07/03,30.84
2013/08/01,30.83
2013/08/02,31.7
2013/08/03,30.9
2013/09/01,29.86
2013/09/02,31.08
2013/09/03,30.0
2013/10/01,30.22
2013/10/02,30.78
2013/10/03,27.92
2013/11/01,27.275
2013/11/02,27.735
2013/11/03,27.26
2013/12/01,27.38
2013/12/02,26.69
2013/12/03,25.36
2014/01/01,24.11
2014/01/02,23.14
2014/01/03,23.5
2014/02/01,22.77
2014/02/02,24.86
2014/02/03,24.77
2014/03/01,24.29
2014/03/02,24.915
2014/03/03,24.59
2014/04/01,24.97
2014/04/02,25.245
2014/04/03,24.015
2014/05/01,23.04
2014/05/02,23.93
2014/05/03,23.895
2014/06/01,23.605
2014/06/02,23.33
2014/06/03,22.58
2014/07/01,22.74
2014/07/02,23.42
2014/07/03,24.47
2014/08/01,27.32
2014/08/02,27.945
2014/08/03,27.85
2014/09/01,30.98
2014/09/02,30.3
2014/09/03,29.74
2014/10/01,29.44
2014/10/02,28.66
2014/10/03,28.61
2014/11/01,29.73
2014/11/02,28.48
2014/11/03,28.755
2014/12/01,30.98
2014/12/02,32.96
2014/12/03,34.255
