Date,SZ002173.Close
2012/01/01,8.11
2012/01/02,8.36
2012/01/03,8.51
2012/02/01,9.41
2012/02/02,9.585
2012/02/03,9.9
2012/03/01,9.9
2012/03/02,9.84
2012/03/03,9.405
2012/04/01,8.885
2012/04/02,9.245
2012/04/03,9.04
2012/05/01,9.14
2012/05/02,8.88
2012/05/03,8.81
2012/06/01,8.355
2012/06/02,8.43
2012/06/03,7.945
2012/07/01,8.83
2012/07/02,8.96
2012/07/03,9.65
2012/08/01,9.615
2012/08/02,9.11
2012/08/03,8.66
2012/09/01,8.43
2012/09/02,8.625
2012/09/03,8.425
2012/10/01,8.44
2012/10/02,8.43
2012/10/03,8.19
2012/11/01,8.23
2012/11/02,7.78
2012/11/03,7.435
2012/12/01,6.875
2012/12/02,7.285
2012/12/03,7.54
2013/01/01,7.81
2013/01/02,7.96
2013/01/03,8.08
2013/02/01,8.16
2013/02/02,8.18
2013/02/03,7.98
2013/03/01,8.12
2013/03/02,7.98
2013/03/03,8.47
2013/04/01,8.735
2013/04/02,8.11
2013/04/03,7.95
2013/05/01,7.78
2013/05/02,7.78
2013/05/03,8.31
2013/06/01,8.36
2013/06/02,7.295
2013/06/03,6.54
2013/07/01,6.505
2013/07/02,6.7
2013/07/03,7.32
2013/08/01,7.38
2013/08/02,7.36
2013/08/03,7.415
2013/09/01,7.38
2013/09/02,7.46
2013/09/03,7.53
2013/10/01,7.87
2013/10/02,8.41
2013/10/03,8.16
2013/11/01,7.435
2013/11/02,7.24
2013/11/03,7.81
2013/12/01,7.99
2013/12/02,7.895
2013/12/03,8.35
2014/01/01,8.3
2014/01/02,8.09
2014/01/03,8.375
2014/02/01,8.56
2014/02/02,8.82
2014/02/03,7.95
2014/03/01,8.045
2014/03/02,8.015
2014/03/03,8.16
2014/04/01,7.95
2014/04/02,8.385
2014/04/03,8.215
2014/05/01,8.76
2014/05/02,9.04
2014/05/03,9.22
2014/06/01,9.5
2014/06/02,9.62
2014/06/03,9.31
2014/07/01,9.81
2014/07/02,9.97
2014/07/03,9.68
2014/08/01,10.925
2014/08/02,11.985
2014/08/03,12.14
2014/09/01,12.29
2014/09/02,12.54
2014/09/03,12.83
2014/10/01,12.92
2014/10/02,12.77
2014/10/03,13.66
2014/11/01,13.505
2014/11/02,12.835
2014/11/03,13.07
2014/12/01,13.08
2014/12/02,13.08
2014/12/03,13.08
