Date,SZ300260.Close
2012/01/01,15.65
2012/01/02,14.57
2012/01/03,14.685
2012/02/01,15.475
2012/02/02,15.96
2012/02/03,16.94
2012/03/01,17.32
2012/03/02,17.46
2012/03/03,15.565
2012/04/01,14.1
2012/04/02,14.61
2012/04/03,13.75
2012/05/01,13.98
2012/05/02,13.795
2012/05/03,13.92
2012/06/01,13.68
2012/06/02,14.44
2012/06/03,13.42
2012/07/01,12.45
2012/07/02,10.87
2012/07/03,10.66
2012/08/01,10.5
2012/08/02,10.65
2012/08/03,10.76
2012/09/01,11.36
2012/09/02,11.26
2012/09/03,10.21
2012/10/01,10.71
2012/10/02,9.37
2012/10/03,9.095
2012/11/01,9.02
2012/11/02,8.55
2012/11/03,10.515
2012/12/01,11.935
2012/12/02,12.045
2012/12/03,12.74
2013/01/01,12.89
2013/01/02,12.41
2013/01/03,11.89
2013/02/01,12.175
2013/02/02,13.0
2013/02/03,12.0
2013/03/01,13.63
2013/03/02,12.74
2013/03/03,11.74
2013/04/01,10.855
2013/04/02,10.74
2013/04/03,10.66
2013/05/01,10.59
2013/05/02,11.195
2013/05/03,11.75
2013/06/01,11.59
2013/06/02,11.605
2013/06/03,9.74
2013/07/01,9.495
2013/07/02,10.39
2013/07/03,10.805
2013/08/01,11.54
2013/08/02,11.2
2013/08/03,11.41
2013/09/01,10.75
2013/09/02,10.595
2013/09/03,11.125
2013/10/01,11.29
2013/10/02,11.72
2013/10/03,12.15
2013/11/01,15.06
2013/11/02,15.32
2013/11/03,15.81
2013/12/01,13.67
2013/12/02,13.65
2013/12/03,14.55
2014/01/01,14.0
2014/01/02,14.44
2014/01/03,15.245
2014/02/01,16.06
2014/02/02,16.63
2014/02/03,17.17
2014/03/01,15.885
2014/03/02,15.235
2014/03/03,15.37
2014/04/01,13.95
2014/04/02,14.225
2014/04/03,13.25
2014/05/01,13.42
2014/05/02,13.64
2014/05/03,14.265
2014/06/01,14.535
2014/06/02,15.45
2014/06/03,15.89
2014/07/01,16.45
2014/07/02,15.665
2014/07/03,15.57
2014/08/01,16.055
2014/08/02,16.355
2014/08/03,16.87
2014/09/01,18.29
2014/09/02,18.71
2014/09/03,18.95
2014/10/01,19.89
2014/10/02,19.255
2014/10/03,18.56
2014/11/01,20.09
2014/11/02,18.33
2014/11/03,19.265
2014/12/01,19.05
2014/12/02,17.85
2014/12/03,15.82
