Date,SH600106.Close
2012/01/01,3.37
2012/01/02,3.45
2012/01/03,3.575
2012/02/01,3.745
2012/02/02,4.675
2012/02/03,4.85
2012/03/01,4.91
2012/03/02,5.35
2012/03/03,4.745
2012/04/01,4.77
2012/04/02,4.815
2012/04/03,4.67
2012/05/01,4.73
2012/05/02,4.41
2012/05/03,4.39
2012/06/01,3.955
2012/06/02,3.905
2012/06/03,3.555
2012/07/01,3.31
2012/07/02,3.42
2012/07/03,3.42
2012/08/01,3.96
2012/08/02,3.85
2012/08/03,3.78
2012/09/01,3.59
2012/09/02,3.78
2012/09/03,3.665
2012/10/01,3.74
2012/10/02,3.71
2012/10/03,3.675
2012/11/01,3.66
2012/11/02,3.48
2012/11/03,3.34
2012/12/01,3.24
2012/12/02,3.49
2012/12/03,3.67
2013/01/01,3.68
2013/01/02,3.65
2013/01/03,3.68
2013/02/01,3.705
2013/02/02,3.73
2013/02/03,3.65
2013/03/01,3.58
2013/03/02,3.465
2013/03/03,3.43
2013/04/01,3.295
2013/04/02,3.22
2013/04/03,3.45
2013/05/01,3.22
2013/05/02,3.21
2013/05/03,3.29
2013/06/01,3.23
2013/06/02,3.17
2013/06/03,3.165
2013/07/01,3.07
2013/07/02,3.15
2013/07/03,3.045
2013/08/01,3.09
2013/08/02,3.15
2013/08/03,3.225
2013/09/01,3.45
2013/09/02,3.52
2013/09/03,3.47
2013/10/01,3.52
2013/10/02,3.68
2013/10/03,3.71
2013/11/01,3.81
2013/11/02,3.61
2013/11/03,3.82
2013/12/01,3.71
2013/12/02,3.62
2013/12/03,3.49
2014/01/01,3.28
2014/01/02,3.185
2014/01/03,3.265
2014/02/01,3.29
2014/02/02,3.395
2014/02/03,3.235
2014/03/01,3.61
2014/03/02,3.415
2014/03/03,3.55
2014/04/01,3.56
2014/04/02,3.575
2014/04/03,3.485
2014/05/01,3.53
2014/05/02,3.45
2014/05/03,3.435
2014/06/01,3.365
2014/06/02,3.37
2014/06/03,3.32
2014/07/01,3.37
2014/07/02,3.39
2014/07/03,3.49
2014/08/01,3.67
2014/08/02,4.055
2014/08/03,4.0
2014/09/01,4.13
2014/09/02,4.48
2014/09/03,4.47
2014/10/01,4.6
2014/10/02,4.555
2014/10/03,4.39
2014/11/01,4.65
2014/11/02,4.495
2014/11/03,4.86
2014/12/01,5.215
2014/12/02,5.72
2014/12/03,5.5
