证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	002645",华宏科技,2016-01-04,深交所,24.46,24.3,1147936,24.3,22.01,22.01,1505,-10.0164,26310748
"	002645",华宏科技,2016-01-05,深交所,22.01,19.82,2328050,21.92,19.82,20.74,2030,-5.7701,48868954.36
"	002645",华宏科技,2016-01-06,深交所,20.74,21.38,3337633,21.5,19.87,21.17,2894,2.0733,69076005.4
"	002645",华宏科技,2016-01-07,深交所,21.17,20.81,370900,20.81,19.13,19.15,411,-9.5418,7416008
"	002645",华宏科技,2016-01-08,深交所,19.15,19.23,2094139,19.69,17.7,19.38,1883,1.201,39881451.44
"	002645",华宏科技,2016-01-11,深交所,19.38,18.65,1773604,18.92,17.65,17.65,1697,-8.9267,32314274.76
"	002645",华宏科技,2016-01-12,深交所,17.65,17.17,2040327,18.88,17.17,18.48,2024,4.7025,37277296.49
"	002645",华宏科技,2016-01-13,深交所,18.48,18.66,1268602,18.88,17.64,18.18,1153,-1.6234,23252471.6
"	002645",华宏科技,2016-01-14,深交所,18.18,17.73,1977632,18.58,16.8,18.42,1890,1.3201,34864171.72
"	002645",华宏科技,2016-01-15,深交所,18.42,18.06,2515823,18.42,17.05,18.15,1993,-1.4658,44942400.57
"	002645",华宏科技,2016-01-18,深交所,18.15,17.51,1293556,18.66,17.27,18.32,1318,0.9366,23511454.62
"	002645",华宏科技,2016-01-19,深交所,18.32,18.2,1847673,19.26,18.06,19.06,1941,4.0393,34754805.06
"	002645",华宏科技,2016-01-20,深交所,19.06,19.07,3905827,20.97,18.8,20.97,3535,10.021,78526861.34
"	002645",华宏科技,2016-01-21,深交所,20.97,21.15,7452287,23.07,20.41,21.44,8186,2.2413,161403024.6
"	002645",华宏科技,2016-01-22,深交所,21.44,21.57,3554898,21.67,20.36,20.7,4706,-3.4515,73999436.24
"	002645",华宏科技,2016-01-25,深交所,20.7,21.13,6341472,22.5,20.3,22.38,5221,8.1159,137341495.59
"	002645",华宏科技,2016-01-26,深交所,22.38,21.89,12666559,24.62,21.14,24.62,8508,10.0089,294073187.25
"	002645",华宏科技,2016-01-27,深交所,24.62,25.48,10877502,25.48,22.16,22.16,12116,-9.9919,248565490.74
"	002645",华宏科技,2016-01-28,深交所,22.16,20.6,6902220,21.96,20.01,20.98,8100,-5.3249,143891131.25
"	002645",华宏科技,2016-01-29,深交所,20.98,20.51,7488237,22.69,20.2,22.56,6582,7.531,164360962.95
