证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	002524",光正集团,2016-01-04,深交所,10.6,10.6,20858522,10.79,9.54,9.54,8843,-10,211448954.44
"	002524",光正集团,2016-01-05,深交所,9.54,8.78,23867436,9.84,8.78,9.33,10650,-2.2013,223207355.82
"	002524",光正集团,2016-01-06,深交所,9.33,9.33,15505318,9.68,9.15,9.61,7637,3.0011,146931279.39
"	002524",光正集团,2016-01-07,深交所,9.61,9.41,4642400,9.41,8.65,8.65,1869,-9.9896,41530222
"	002524",光正集团,2016-01-08,深交所,8.65,8.7,24968650,9.05,7.84,8.69,9342,0.4624,213744713.4
"	002524",光正集团,2016-01-11,深交所,8.69,8.5,19614261,8.75,7.82,7.82,8052,-10.0115,160280667.08
"	002524",光正集团,2016-01-12,深交所,7.82,7.5,22624354,7.91,7.04,7.53,8975,-3.7084,169139429.27
"	002524",光正集团,2016-01-13,深交所,7.53,7.52,16579168,7.78,7.16,7.21,6713,-4.2497,124405469.7
"	002524",光正集团,2016-01-14,深交所,7.21,6.96,18263959,7.55,6.68,7.49,6360,3.8835,131792965.44
"	002524",光正集团,2016-01-15,深交所,7.49,7.4,15635926,7.53,6.88,7.18,5644,-4.1389,113204743.26
"	002524",光正集团,2016-01-18,深交所,7.18,6.78,13211431,7.5,6.71,7.34,5204,2.2284,95771803.58
"	002524",光正集团,2016-01-19,深交所,7.34,7.33,12956667,7.66,7.21,7.62,5089,3.8147,96916685.88
"	002524",光正集团,2016-01-20,深交所,7.62,7.62,11475715,7.72,7.4,7.53,4799,-1.1811,86847696
"	002524",光正集团,2016-01-21,深交所,7.53,7.36,12039015,7.61,7.05,7.06,4636,-6.2417,88559983.41
"	002524",光正集团,2016-01-22,深交所,7.06,7.17,9156596,7.26,6.9,7.14,3580,1.1331,64848582.18
"	002524",光正集团,2016-01-25,深交所,7.14,7.18,8230275,7.35,7.11,7.26,2931,1.6807,59582384.39
"	002524",光正集团,2016-01-26,深交所,7.26,7.13,12645447,7.22,6.53,6.53,4936,-10.0551,86543808.39
"	002524",光正集团,2016-01-27,深交所,6.53,6.46,22539608,6.6,5.88,6.19,6546,-5.2067,137841781.56
