Date,SZ002702.Close
2012/10/01,25.03
2012/11/01,22.39
2012/12/01,20.86
2013/01/01,27.225
2013/02/01,26.51
2013/03/01,26.84
2013/04/01,27.355
2013/05/01,17.27
2013/06/01,15.26
2013/07/01,13.35
2013/08/01,13.27
2013/09/01,13.56
2013/10/01,13.96
2013/11/01,11.76
2013/12/01,12.85
2014/01/01,13.77
2014/02/01,14.685
2014/03/01,14.37
2014/04/01,13.84
2014/05/01,12.505
2014/06/01,14.3
2014/07/01,14.68
2014/08/01,15.05
2014/09/01,17.62
2014/10/01,17.805
2014/11/01,18.39
2014/12/01,17.08
2015/01/01,18.585
2015/02/01,27.0
2015/03/01,32.665
2015/04/01,34.21
2015/05/01,28.8
2015/06/01,34.8
2015/07/01,25.07
2015/08/01,25.07
2015/09/01,21.705
2015/10/01,27.13
2015/11/01,29.4
2015/12/01,29.33
2016/01/01,20.51
2016/02/01,21.465
2016/03/01,19.1
2016/04/01,20.39
2016/05/01,20.08
2016/06/01,20.37
