Date,SZ002069.Close
2012/01/01,143.3
2012/01/02,140.27
2012/01/03,139.07
2012/02/01,143.81
2012/02/02,151.4
2012/02/03,156.14
2012/03/01,155.48
2012/03/02,161.42
2012/03/03,156.02
2012/04/01,142.61
2012/04/02,135.29
2012/04/03,136.58
2012/05/01,137.78
2012/05/02,132.74
2012/05/03,130.1
2012/06/01,130.64
2012/06/02,135.02
2012/06/03,132.32
2012/07/01,140.9
2012/07/02,146.18
2012/07/03,136.76
2012/08/01,137.75
2012/08/02,134.12
2012/08/03,121.46
2012/09/01,114.92
2012/09/02,113.0
2012/09/03,110.09
2012/10/01,114.26
2012/10/02,117.2
2012/10/03,110.66
2012/11/01,111.62
2012/11/02,107.96
2012/11/03,103.88
2012/12/01,91.46
2012/12/02,99.02
2012/12/03,100.94
2013/01/01,107.3
2013/01/02,109.79
2013/01/03,106.16
2013/02/01,107.45
2013/02/02,108.56
2013/02/03,102.89
2013/03/01,102.74
2013/03/02,94.1
2013/03/03,94.04
2013/04/01,93.44
2013/04/02,92.18
2013/04/03,88.7
2013/05/01,88.7
2013/05/02,88.73
2013/05/03,94.94
2013/06/01,94.34
2013/06/02,87.14
2013/06/03,78.17
2013/07/01,77.39
2013/07/02,79.1
2013/07/03,76.16
2013/08/01,81.86
2013/08/02,83.42
2013/08/03,88.04
2013/09/01,89.06
2013/09/02,89.18
2013/09/03,85.16
2013/10/01,86.78
2013/10/02,96.59
2013/10/03,102.2
2013/11/01,100.28
2013/11/02,98.0
2013/11/03,104.9
2013/12/01,105.32
2013/12/02,100.1
2013/12/03,96.14
2014/01/01,89.72
2014/01/02,85.16
2014/01/03,88.25
2014/02/01,90.47
2014/02/02,92.42
2014/02/03,85.22
2014/03/01,86.15
2014/03/02,83.66
2014/03/03,84.92
2014/04/01,83.72
2014/04/02,85.67
2014/04/03,89.18
2014/05/01,88.46
2014/05/02,92.3
2014/05/03,95.45
2014/06/01,94.4
2014/06/02,94.4
2014/06/03,92.63
2014/07/01,99.68
2014/07/02,100.7
2014/07/03,103.16
2014/08/01,102.59
2014/08/02,102.92
2014/08/03,99.8
2014/09/01,101.6
2014/09/02,103.82
2014/09/03,104.78
2014/10/01,106.7
2014/10/02,102.56
2014/10/03,102.56
2014/11/01,102.56
2014/11/02,102.56
2014/11/03,102.56
2014/12/01,102.56
2014/12/02,84.86
2014/12/03,80.36
