Date,SZ300382.Close
2014/01/03,49.81
2014/02/01,56.595
2014/02/02,64.08
2014/02/03,63.725
2014/03/01,65.69
2014/03/02,59.135
2014/03/03,53.75
2014/04/01,51.4
2014/04/02,52.665
2014/04/03,54.545
2014/05/01,57.18
2014/05/02,55.0
2014/05/03,56.075
2014/06/01,57.3
2014/06/02,56.885
2014/06/03,63.565
2014/07/01,66.49
2014/07/02,64.185
2014/07/03,60.74
2014/08/01,60.92
2014/08/02,62.54
2014/08/03,59.61
2014/09/01,62.12
2014/09/02,62.8
2014/09/03,63.5
2014/10/01,66.26
2014/10/02,69.435
2014/10/03,72.2
2014/11/01,71.965
2014/11/02,69.645
2014/11/03,69.77
2014/12/01,70.885
2014/12/02,66.69
2014/12/03,60.03
