Date, 600094.Open, 600094.High, 600094.Low, 600094.Close, 600094.Volume, 600094.Adjusted
2001/08/08,11.32,11.50,11.28,11.44,379600,4323483.00
2001/08/09,11.45,11.60,11.40,11.56,727200,8379610.00
2001/08/10,11.70,11.75,11.40,11.63,764400,8898495.00
2001/08/13,11.60,11.60,11.45,11.50,363700,4181409.00
2001/08/14,11.50,11.50,11.11,11.45,427200,4841469.00
2001/08/15,11.43,11.65,11.32,11.44,436400,4979186.00
2001/08/16,11.33,11.40,11.15,11.40,343400,3866095.00
2001/08/17,11.30,11.40,11.18,11.40,211200,2383649.00
2001/08/20,11.38,11.58,11.21,11.47,358700,4115116.00
2001/08/21,11.45,11.50,11.40,11.50,133200,1525255.00
2001/08/22,11.45,11.45,11.00,11.16,588800,6547816.00
2001/08/23,11.03,11.18,10.85,11.16,235500,2608858.00
2001/08/24,11.13,11.22,10.89,11.18,407100,4489729.00
2001/08/27,11.08,11.08,10.70,10.85,351300,3801147.00
2001/08/28,10.85,11.00,10.60,11.00,324800,3478636.00
2001/08/29,11.18,11.18,10.86,11.08,406400,4486081.00
2001/08/30,11.00,11.00,10.81,11.00,100600,1097671.00
2001/08/31,10.93,10.99,10.85,10.99,101600,1107008.00
2001/09/03,10.75,10.97,10.75,10.97,186900,2025317.00
2001/09/04,10.88,11.20,10.88,11.15,322200,3566091.00
2001/09/05,11.20,11.28,11.04,11.20,456300,5097719.00
2001/09/06,11.20,11.20,10.95,11.07,155300,1717237.00
2001/09/07,11.02,11.02,10.77,10.94,257800,2798568.00
2001/09/10,10.72,11.37,10.61,11.30,623800,6976277.00
2001/09/11,11.30,11.32,11.10,11.15,293300,3286317.00
2001/09/12,10.80,11.00,10.62,11.00,511100,5538115.00
2001/09/13,11.00,11.07,10.86,10.90,83300,911045.00
2001/09/14,10.98,11.09,10.80,10.90,231800,2522380.00
2001/09/17,10.71,10.85,10.50,10.85,631600,6718229.00
2001/09/18,10.73,10.85,10.60,10.68,186500,1998108.00
2001/09/19,10.61,10.84,10.61,10.84,229400,2460754.00
2001/09/20,10.84,10.95,10.64,10.70,234800,2523283.00
2001/09/21,10.63,10.70,10.55,10.59,132000,1400311.00
2001/09/24,10.58,10.70,10.55,10.55,90500,960493.00
2001/09/25,10.60,10.73,10.35,10.45,155100,1623348.00
2001/09/26,10.50,10.50,9.80,10.10,818400,8200766.00
2001/09/27,10.04,10.04,9.75,9.80,263200,2589300.00
2001/09/28,9.77,9.90,9.65,9.67,220300,2138962.00
2001/10/08,9.78,9.87,9.01,9.10,273100,2520002.00
2001/10/09,9.06,9.29,9.01,9.15,287500,2615522.00
2001/10/10,9.14,9.14,8.28,8.31,688400,5899883.00
2001/10/11,8.30,8.65,8.27,8.31,783000,6589401.00
2001/10/12,8.48,8.66,8.15,8.60,718500,6082755.00
2001/10/15,8.65,8.77,8.50,8.60,332700,2867531.00
2001/10/16,8.60,8.60,8.25,8.33,240500,2015752.00
2001/10/17,8.35,8.41,8.25,8.40,157000,1307748.00
2001/10/18,8.30,8.30,8.00,8.01,242000,1970040.00
2001/10/19,8.00,8.00,7.69,7.69,465000,3625324.00
2001/10/22,7.65,7.65,7.31,7.35,292400,2185141.00
2001/10/23,8.09,8.09,7.78,8.09,668500,5360260.00
2001/10/24,8.08,8.90,8.08,8.74,2531300,21861584.00
2001/10/25,8.70,8.70,8.45,8.45,683900,5844305.00
2001/10/26,8.30,8.44,8.14,8.34,490000,4064786.00
2001/10/29,8.28,8.58,8.28,8.43,271700,2291133.00
2001/10/30,8.45,8.56,8.38,8.41,213600,1803376.00
2001/10/31,8.40,8.97,8.28,8.97,843500,7322933.00
2001/11/01,8.97,8.97,8.74,8.82,950700,8420608.00
2001/11/02,8.80,8.90,8.70,8.78,371900,3275751.00
2001/11/05,8.75,9.00,8.72,8.88,548300,4873524.00
2001/11/06,8.86,8.90,8.69,8.76,186500,1638879.00
2001/11/07,8.72,8.72,8.02,8.29,485800,4023636.00
2001/11/08,8.02,8.35,7.85,8.25,397100,3228806.00
2001/11/09,8.25,8.42,8.02,8.42,648600,5343203.00
2001/11/12,8.25,8.42,8.02,8.42,0,0.00
2001/11/13,8.25,8.42,8.02,8.42,0,0.00
2001/11/14,8.15,8.49,8.14,8.49,926900,7634564.00
