Date, 002562.Open, 002562.High, 002562.Low, 002562.Close, 002562.Volume, 002562.Adjusted
2011/03/10,26.03,29.76,26.03,28.80,18465003,503788928.00
2011/03/11,27.50,29.69,27.28,28.00,11838527,338491552.00
2011/03/14,27.79,27.79,26.52,26.88,6545188,176898224.00
2011/03/15,26.92,27.68,26.70,27.16,5305228,145008288.00
2011/03/16,26.95,27.79,26.36,27.54,5042784,136919376.00
2011/03/17,27.10,27.15,26.10,26.23,3740763,99923488.00
2011/03/18,26.50,27.13,26.41,26.84,2412090,64648592.00
2011/03/21,26.79,29.52,26.61,29.52,7110835,201831760.00
2011/03/22,29.85,32.40,29.60,30.60,11275384,346343232.00
2011/03/23,30.05,32.65,29.62,31.96,7996721,249025168.00
2011/03/24,31.20,31.89,30.76,31.00,5655895,176322560.00
2011/03/25,31.00,31.45,30.30,31.06,4393676,135115744.00
2011/03/28,31.05,31.10,29.97,30.10,3974910,120346768.00
2011/03/29,29.80,29.80,27.10,27.40,6329326,177977552.00
2011/03/30,27.20,27.87,26.88,27.14,2661044,72837816.00
2011/03/31,27.19,28.39,27.19,27.90,3022251,84386744.00
2011/04/01,27.82,28.10,27.30,27.82,1861132,51639492.00
2011/04/06,27.11,27.71,26.52,27.15,2066266,55730808.00
2011/04/07,27.17,28.52,26.80,28.14,2639474,72877872.00
2011/04/08,27.99,28.54,27.75,27.96,2043854,57377376.00
2011/04/11,28.00,28.18,27.00,27.26,1877997,51470768.00
2011/04/12,27.01,27.53,26.98,27.09,1145507,31113074.00
2011/04/13,27.00,27.50,26.68,27.46,1378352,37473288.00
2011/04/14,27.38,28.28,27.16,28.05,2171075,60638120.00
2011/04/15,27.83,29.90,27.65,29.37,3928823,112920376.00
2011/04/18,29.02,29.65,28.51,28.83,2327570,67539568.00
2011/04/19,28.79,29.88,28.34,29.07,2929174,85781744.00
2011/04/20,29.16,29.27,28.36,28.72,1794307,51454948.00
2011/04/21,28.60,28.90,27.86,28.00,1833808,51839920.00
2011/04/22,27.80,27.99,27.31,27.48,1243691,34289892.00
2011/04/25,27.35,28.36,27.30,27.77,1344228,37551448.00
2011/04/26,27.58,28.99,27.40,28.88,2464378,70275736.00
2011/04/27,28.58,29.26,27.60,27.81,1916782,54634444.00
2011/04/28,28.58,29.26,27.60,27.81,0,0.00
2011/04/29,26.50,27.41,25.10,26.54,1776153,46480424.00
2011/05/03,25.80,25.88,23.89,24.60,2820540,69535848.00
2011/05/04,24.50,24.50,23.51,23.98,1396654,33381864.00
2011/05/05,23.71,24.10,23.60,23.88,718143,17177112.00
2011/05/06,23.88,23.88,23.01,23.26,1138379,26548104.00
2011/05/09,23.15,23.70,23.00,23.24,841058,19651288.00
