证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	300124",汇川技术,2015-01-05,深交所,29.19,29.28,10124829,30.49,27.63,30.05,11312,2.9462,292055140.95
"	300124",汇川技术,2015-01-06,深交所,30.05,29.91,9573651,31.4,29.43,31.18,9753,3.7604,293619178.18
"	300124",汇川技术,2015-01-07,深交所,31.18,31.35,7831402,31.65,29.92,30.15,9038,-3.3034,239098026.18
"	300124",汇川技术,2015-01-08,深交所,30.15,30.05,6611429,30.88,29.9,30.21,8037,0.199,201484193.6
"	300124",汇川技术,2015-01-09,深交所,30.21,30.14,10324316,31.29,29.83,30.19,11098,-0.0662,317724328.55
"	300124",汇川技术,2015-01-12,深交所,30.19,30.1,9800879,31.8,29.89,31.56,9787,4.5379,303204189.88
"	300124",汇川技术,2015-01-13,深交所,31.56,31.2,23634360,34.72,31.2,34.72,16734,10.0127,791386147.27
"	300124",汇川技术,2015-01-14,深交所,34.72,34.86,22563209,37.2,34.55,35.79,19345,3.0818,808067633.03
"	300124",汇川技术,2015-01-15,深交所,35.79,35.5,11069080,35.79,34.24,34.87,13175,-2.5706,385569710.89
"	300124",汇川技术,2015-01-16,深交所,34.87,34.53,12886030,35.88,34.5,35.46,11514,1.692,452755391.79
"	300124",汇川技术,2015-01-19,深交所,35.46,34.5,17993740,36.82,33,33.64,15005,-5.1325,628432624.77
"	300124",汇川技术,2015-01-20,深交所,33.64,33.7,17343522,37,33.7,37,15827,9.9881,614336404.43
"	300124",汇川技术,2015-01-21,深交所,37,37.8,16256185,37.8,36,36.57,16080,-1.1622,596105376.19
"	300124",汇川技术,2015-01-22,深交所,36.57,36.48,16308013,38.18,36.12,37.05,16912,1.3126,608354077.6
"	300124",汇川技术,2015-01-23,深交所,37.05,36.45,14131316,37,35.13,35.3,14912,-4.7233,505398269.72
"	300124",汇川技术,2015-01-26,深交所,35.3,35.31,7673857,36.27,35.18,35.66,8823,1.0198,274354578.25
"	300124",汇川技术,2015-01-27,深交所,35.66,35.8,10411187,35.85,34.05,35.05,12332,-1.7106,362919326.72
"	300124",汇川技术,2015-01-28,深交所,35.05,34.22,8704771,35.33,34.01,34.36,10804,-1.9686,300145928.67
"	300124",汇川技术,2015-01-29,深交所,34.36,34.26,8496850,35.28,33.8,35,9715,1.8626,293944283.59
"	300124",汇川技术,2015-01-30,深交所,35,35.15,9415255,35.81,33.97,33.98,11453,-2.9143,330350057.94
"	300124",汇川技术,2015-02-02,深交所,33.98,33.63,10313606,34.5,32.88,33.2,12297,-2.2955,345859587.42
"	300124",汇川技术,2015-02-03,深交所,33.2,33.58,9212007,34.5,33.4,33.73,11614,1.5964,312886572.89
"	300124",汇川技术,2015-02-04,深交所,33.73,33.51,13630478,34.89,32.88,34.16,14897,1.2748,460728768.63
"	300124",汇川技术,2015-02-05,深交所,34.16,34.15,13720109,35.63,33.76,34.47,15784,0.9075,478106303.95
"	300124",汇川技术,2015-02-06,深交所,34.47,34.5,9957585,34.82,32,32.36,12300,-6.1213,331684589.08
"	300124",汇川技术,2015-02-09,深交所,32.36,32.65,7565368,32.88,31.2,31.46,9245,-2.7812,242243499.18
"	300124",汇川技术,2015-02-10,深交所,31.46,31.4,7003432,32.99,31.4,32.8,8660,4.2594,226983564.58
"	300124",汇川技术,2015-02-11,深交所,32.8,32.8,5411629,33.37,32.22,32.76,6981,-0.122,178386355.48
"	300124",汇川技术,2015-02-12,深交所,32.76,32.83,6081696,33.1,32.3,32.58,6031,-0.5495,198320119.56
"	300124",汇川技术,2015-02-13,深交所,32.58,32.89,9708371,34.33,32.62,33.83,11975,3.8367,327052621.93
"	300124",汇川技术,2015-02-16,深交所,33.83,33.88,9872611,34.98,33.5,34.6,9094,2.2761,340288040.64
"	300124",汇川技术,2015-02-17,深交所,34.6,34.78,6768060,35.11,34,34.15,7411,-1.3006,232589362.49
"	300124",汇川技术,2015-02-25,深交所,34.15,34.52,10350037,35.41,34.15,34.72,11307,1.6691,360516422.99
"	300124",汇川技术,2015-02-26,深交所,34.72,34.73,8656681,34.91,33.47,34.23,9305,-1.4113,294752545.39
"	300124",汇川技术,2015-02-27,深交所,34.23,33.95,16308467,35.8,33.95,35.8,13678,4.5866,575843767.41
"	300124",汇川技术,2015-03-02,深交所,35.8,36.24,13028357,36.76,35.6,35.94,13445,0.3911,469679955.31
"	300124",汇川技术,2015-03-03,深交所,35.94,35.67,13833011,35.85,34.39,34.47,15327,-4.0902,483830301.13
"	300124",汇川技术,2015-03-04,深交所,34.47,34.6,10447413,35.34,34.4,35.3,11163,2.4079,365791188.82
"	300124",汇川技术,2015-03-05,深交所,35.3,35.7,11494130,36.35,34.83,35.62,12205,0.9065,408032970.65
"	300124",汇川技术,2015-03-06,深交所,35.62,35.76,9546237,35.79,34.1,34.35,10102,-3.5654,330258183.45
"	300124",汇川技术,2015-03-09,深交所,34.35,34.23,18880620,36.76,33.6,36.49,17785,6.23,674636311.62
"	300124",汇川技术,2015-03-10,深交所,36.49,36.3,13336919,37.08,35.83,36.66,11730,0.4659,485667234.98
"	300124",汇川技术,2015-03-11,深交所,36.66,36.46,11760530,37.4,36.02,36.95,11169,0.7911,431783845.28
"	300124",汇川技术,2015-03-12,深交所,36.95,37,12634162,37.96,35.5,36.11,12314,-2.2733,461588607.93
"	300124",汇川技术,2015-03-13,深交所,36.11,36.02,8689735,36.8,35.61,36.37,9610,0.72,314382023.28
"	300124",汇川技术,2015-03-16,深交所,36.37,36.8,16624901,37.85,36,37.58,14284,3.3269,615139598.77
"	300124",汇川技术,2015-03-17,深交所,37.58,37.81,19138764,38.81,37.2,38.12,16839,1.4369,723476042.24
"	300124",汇川技术,2015-03-18,深交所,38.12,37.9,13848122,38.82,37.37,38.63,14767,1.3379,528036145.47
"	300124",汇川技术,2015-03-19,深交所,38.63,38.5,19009308,40.62,38.21,40.24,17345,4.1677,754695668.85
"	300124",汇川技术,2015-03-20,深交所,40.24,39.01,20866623,40.18,38.6,39.1,21420,-2.833,820086755.41
"	300124",汇川技术,2015-03-23,深交所,39.1,39.11,18231269,40.15,39,39.78,16723,1.7391,720733210.31
"	300124",汇川技术,2015-03-24,深交所,39.78,40.07,31998698,43.5,39.2,42.7,28599,7.3404,1317392500.95
"	300124",汇川技术,2015-03-25,深交所,42.7,42.69,30026778,45.6,41.6,44.02,26040,3.0913,1322017267.42
"	300124",汇川技术,2015-03-26,深交所,44.02,44,22737840,44.7,39.89,42.1,22186,-4.3617,969168271.63
"	300124",汇川技术,2015-03-27,深交所,42.1,41.3,13854379,41.95,40.48,41.4,14057,-1.6627,570957635.31
"	300124",汇川技术,2015-03-30,深交所,41.4,41.33,15098797,43.05,40.86,41.78,15739,0.9179,631220665.29
"	300124",汇川技术,2015-03-31,深交所,41.78,41.8,14830662,42.93,41.12,41.77,16489,-0.0239,624546137.42
"	300124",汇川技术,2015-04-01,深交所,41.77,41.77,14107270,42.84,41.51,42.57,14833,1.9153,597059458.86
"	300124",汇川技术,2015-04-02,深交所,42.57,42.9,17607698,44.2,42.1,43.7,20270,2.6545,759932027.66
"	300124",汇川技术,2015-04-03,深交所,43.7,43.2,16757638,44.58,42.81,44.09,15423,0.8924,733628086.55
"	300124",汇川技术,2015-04-07,深交所,44.09,44.5,12133286,44.58,43.39,44.06,12791,-0.068,531639340.79
"	300124",汇川技术,2015-04-08,深交所,44.06,44.1,26783138,44.2,40.21,42.03,25455,-4.6074,1121547825.57
"	300124",汇川技术,2015-04-09,深交所,42.03,41.45,17661490,41.45,39.1,40.15,17593,-4.473,706110776.56
"	300124",汇川技术,2015-04-10,深交所,40.15,39.71,13434411,41.29,39.61,40.88,12585,1.8182,547478584.39
"	300124",汇川技术,2015-04-13,深交所,40.88,40.89,17345071,42.09,40.42,41.87,16733,2.4217,719907873.14
"	300124",汇川技术,2015-04-14,深交所,41.87,41.8,18339801,43.48,41.7,42.65,16370,1.8629,783632730.4
"	300124",汇川技术,2015-04-15,深交所,42.65,42.65,15791348,43.99,41,41.7,16670,-2.2274,680297872.37
"	300124",汇川技术,2015-04-16,深交所,41.7,41.2,14914004,41.98,39.81,40.78,16358,-2.2062,610781628.2
"	300124",汇川技术,2015-04-17,深交所,40.78,41,16446384,41.38,40,40.27,15421,-1.2506,667718947.19
"	300124",汇川技术,2015-04-20,深交所,40.27,40.27,15281113,40.27,38.5,38.85,15200,-3.5262,598496020.15
"	300124",汇川技术,2015-04-21,深交所,38.85,0,0,0,0,0,0,,0
"	300124",汇川技术,2015-04-22,深交所,38.35,0,0,0,0,0,0,,0
"	300124",汇川技术,2015-04-23,深交所,38.35,41,12087704,42.19,39.98,42.19,8374,10.013,500219011.92
"	300124",汇川技术,2015-04-24,深交所,42.19,43.45,26380022,45.14,42.48,42.48,22608,0.6874,1145969325.69
"	300124",汇川技术,2015-04-27,深交所,42.48,42.5,19802457,43.81,41.77,41.93,17144,-1.2947,848151788.6
"	300124",汇川技术,2015-04-28,深交所,41.93,41.77,13804862,42.42,39.81,40.19,14850,-4.1498,561496949.49
"	300124",汇川技术,2015-04-29,深交所,40.19,40.38,20702977,43.65,40.36,43.16,18410,7.3899,880424893.57
"	300124",汇川技术,2015-04-30,深交所,43.16,43.01,20260007,45.31,43,43.58,17872,0.9731,895851097.79
"	300124",汇川技术,2015-05-04,深交所,43.58,43.62,21555563,47.94,43.59,47.94,18766,10.0046,1006833557.69
"	300124",汇川技术,2015-05-05,深交所,47.94,48.81,26942510,52,48,49.91,26369,4.1093,1346727905.23
"	300124",汇川技术,2015-05-06,深交所,49.91,49.9,27096952,52.5,48.4,49.15,27098,-1.5227,1371095050.61
"	300124",汇川技术,2015-05-07,深交所,49.15,48.7,17457088,48.71,45.4,45.42,19339,-7.589,823720114.38
"	300124",汇川技术,2015-05-08,深交所,45.42,46,21766962,49.96,46,49.96,15890,9.9956,1064457637.06
"	300124",汇川技术,2015-05-11,深交所,49.96,51.19,28295225,54.2,50.01,52.8,24568,5.6845,1469109716.66
"	300124",汇川技术,2015-05-12,深交所,52.8,52.8,23149658,54.37,50.52,52.55,22117,-0.4735,1216783022.78
"	300124",汇川技术,2015-05-13,深交所,52.55,50.9,17168531,52.66,50,50.9,17714,-3.1399,883251540.15
"	300124",汇川技术,2015-05-14,深交所,50.9,50.91,21267611,54.7,50.3,52.4,19876,2.947,1118613023.62
"	300124",汇川技术,2015-05-15,深交所,52.4,51.4,14878940,52.68,50.45,51.5,14413,-1.7176,767677002.33
"	300124",汇川技术,2015-05-18,深交所,51.5,52,15300195,55,52,53.51,17215,3.9029,819265052.16
"	300124",汇川技术,2015-05-19,深交所,53.51,53.84,18633484,56.57,51.51,56.19,21290,5.0084,1006489060.46
"	300124",汇川技术,2015-05-20,深交所,56.19,58,22069283,61.5,56.18,56.5,26762,0.5517,1308927935.54
"	300124",汇川技术,2015-05-21,深交所,56.5,57.2,19524688,60.93,57,59.24,22389,4.8496,1148417745.96
"	300124",汇川技术,2015-05-22,深交所,59.24,59.6,24660854,60.99,55.8,56.96,28405,-3.8488,1412745638.56
"	300124",汇川技术,2015-05-25,深交所,56.96,55,16791513,57.48,54.6,56.4,19294,-0.9831,944655307.88
"	300124",汇川技术,2015-05-26,深交所,56.4,56.3,23514612,58.96,56.17,58.12,23045,3.0496,1364640071.31
"	300124",汇川技术,2015-05-27,深交所,58.12,58,22722765,61.5,56.2,61.06,26593,5.0585,1322469237.55
"	300124",汇川技术,2015-05-28,深交所,61.06,60.31,25065799,65,57,58.75,29748,-3.7832,1557322377.3
"	300124",汇川技术,2015-05-29,深交所,58.75,59.25,24364018,63.44,56.65,61.75,26273,5.1064,1488503657.62
"	300124",汇川技术,2015-06-01,深交所,61.75,63.1,19468580,67.93,63,67.93,18472,10.0081,1288050116.86
"	300124",汇川技术,2015-06-02,深交所,67.93,69.11,23656396,74.72,69.1,72.39,25749,6.5656,1722340386.07
"	300124",汇川技术,2015-06-03,深交所,72.39,73.15,21838532,76.75,70.01,73.2,27081,1.1189,1607669119.94
"	300124",汇川技术,2015-06-04,深交所,73.2,73.5,26590999,73.66,65.88,68.7,33407,-6.1475,1820745912.93
"	300124",汇川技术,2015-06-05,深交所,68.7,69.08,24467131,72.55,65.55,69.4,29420,1.0189,1710827105.18
"	300124",汇川技术,2015-06-08,深交所,69.4,69.3,26632809,69.3,62.46,62.5,32452,-9.9424,1704614835.4
"	300124",汇川技术,2015-06-09,深交所,62.5,61.88,17777835,64.8,60.6,61.88,21767,-0.992,1109574978.12
"	300124",汇川技术,2015-06-10,深交所,61.88,62,17357055,65.5,61.2,63.98,22790,3.3937,1104228566.11
"	300124",汇川技术,2015-06-11,深交所,63.98,63.9,16338568,65.48,62.58,64.93,22130,1.4848,1045094037.09
"	300124",汇川技术,2015-06-12,深交所,64.93,64.99,12271061,65.88,63.16,63.75,18908,-1.8173,785146441.88
"	300124",汇川技术,2015-06-15,深交所,63.75,63.91,23385244,64.3,57.65,58.28,29973,-8.5804,1412929905.03
"	300124",汇川技术,2015-06-16,深交所,58.28,56.5,18590514,59.2,54.21,56.41,23289,-3.2086,1042806556.04
"	300124",汇川技术,2015-06-17,深交所,56.41,55.88,15829998,59.95,55.88,59.56,22830,5.5841,917482489.99
"	300124",汇川技术,2015-06-18,深交所,59.56,58.61,13660272,59.82,54.08,54.26,19949,-8.8986,776343042.11
"	300124",汇川技术,2015-06-19,深交所,54.26,53.5,16804948,57.82,53.01,54.81,20489,1.0136,926004155.92
"	300124",汇川技术,2015-06-23,深交所,54.81,55,17463542,58.78,55,58.76,23014,7.2067,1001253605.59
"	300124",汇川技术,2015-06-24,深交所,58.76,59.29,15025645,59.58,57.13,58.94,19353,0.3063,877360005.13
"	300124",汇川技术,2015-06-25,深交所,58.94,59.88,17002699,60.68,54.41,54.91,22955,-6.8375,994257059.11
"	300124",汇川技术,2015-06-26,深交所,54.91,53,13036241,53.39,49.42,49.42,15044,-9.9982,665529967.19
