Date,SZ002438.Volume
2010/06/23,8027989.67
2010/07/01,2830365.18
2010/08/02,2794168.45
2010/09/01,2372444.68
2010/10/08,2575510.94
2010/11/01,1784262.41
2010/12/01,979712.96
2011/01/04,635329.05
2011/02/01,741256.33
2011/03/01,1644371.78
2011/04/01,771545.63
2011/05/03,574095.67
2011/06/01,765835.81
2011/07/01,900855.1
2011/08/01,2625534.78
2011/09/01,1955125.33
2011/10/10,2314749.69
2011/11/01,2206456.64
2011/12/01,923999.32
2012/01/04,1024686.93
2012/02/01,2008378.48
2012/03/01,2728030.91
2012/04/05,1381539.41
2012/05/02,4492732.82
2012/06/01,4066114.4
2012/07/02,2194841.95
2012/08/01,2119157.7
2012/09/03,3235291.3
2012/10/08,4529816.72
2012/11/01,1340814.41
2012/12/03,1974755.24
2013/01/04,2973445.4
2013/02/01,3228175.47
2013/03/01,2451759.9
2013/04/01,1038399.0
2013/05/02,2965503.82
2013/06/03,2784881.47
2013/07/01,1361436.26
2013/08/01,1981229.0
2013/09/02,1613521.53
2013/10/08,2585593.83
2013/11/01,3143957.38
2013/12/02,2520227.05
2014/01/02,3803057.81
2014/02/07,3600336.38
2014/03/03,4852099.67
2014/04/01,3162674.05
2014/05/05,1243644.45
2014/06/03,3771676.4
2014/07/01,3328053.78
2014/08/01,4207778.95
2014/09/01,4258538.33
2014/10/08,3895536.22
2014/11/03,1.006954115E7
2014/12/01,5927909.48
2015/01/05,1.315075465E7
2015/02/02,5297197.93
2015/03/02,1.047202E7
2015/04/01,1.617264614E7
2015/05/04,7928835.1
2015/06/01,0.0
2015/07/01,0.0
2015/08/03,0.0
2015/09/01,5894141.6
2015/10/08,1.180645729E7
2015/11/02,1.169627024E7
2015/12/01,1.091732478E7
2016/01/04,5093946.25
2016/02/01,3926102.69
2016/03/01,5847020.09
2016/04/01,4886881.55
2016/05/03,3367638.33
2016/06/01,7478846.33
