证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	002430",杭氧股份,2015-01-05,深交所,8.76,8.76,7983075,8.97,8.67,8.94,4432,2.0548,70683428.58
"	002430",杭氧股份,2015-01-06,深交所,8.94,8.94,11030630,9.14,8.85,9.06,5103,1.3423,99626096.24
"	002430",杭氧股份,2015-01-07,深交所,9.06,9,6906825,9.12,8.9,9.03,3693,-0.3311,62041285.1
"	002430",杭氧股份,2015-01-08,深交所,9.03,9,7174423,9.16,8.81,8.82,3837,-2.3256,64240672.61
"	002430",杭氧股份,2015-01-09,深交所,8.82,8.8,4773727,8.89,8.71,8.76,2660,-0.6803,42139656.71
"	002430",杭氧股份,2015-01-12,深交所,8.76,8.72,5370702,8.78,8.51,8.58,2933,-2.0548,46268691.69
"	002430",杭氧股份,2015-01-13,深交所,8.58,8.56,3998262,8.75,8.55,8.75,2248,1.9814,34549153.62
"	002430",杭氧股份,2015-01-14,深交所,8.75,8.76,3295359,8.76,8.52,8.57,2052,-2.0571,28415009.43
"	002430",杭氧股份,2015-01-15,深交所,8.57,8.54,2803773,8.67,8.54,8.63,1965,0.7001,24125541.2
"	002430",杭氧股份,2015-01-16,深交所,8.63,8.6,4425529,8.78,8.6,8.72,2873,1.0429,38462752.98
"	002430",杭氧股份,2015-01-19,深交所,8.72,8.63,8169961,8.88,8.16,8.36,4724,-4.1284,70022423.79
"	002430",杭氧股份,2015-01-20,深交所,8.36,8.37,5619959,8.53,8.37,8.5,2756,1.6746,47495690.51
"	002430",杭氧股份,2015-01-21,深交所,8.5,8.49,8904689,8.84,8.49,8.78,4331,3.2941,77365906.93
"	002430",杭氧股份,2015-01-22,深交所,8.78,8.8,11290640,9.09,8.75,9,5374,2.5057,101205269.42
"	002430",杭氧股份,2015-01-23,深交所,9,9,6088620,9.03,8.81,8.86,3460,-1.5556,54190910.74
"	002430",杭氧股份,2015-01-26,深交所,8.86,8.87,10170124,9.15,8.87,9.13,4945,3.0474,92100176.54
"	002430",杭氧股份,2015-01-27,深交所,9.13,9.12,7801529,9.14,8.9,9.06,3945,-0.7667,70477276.97
"	002430",杭氧股份,2015-01-28,深交所,9.06,9.06,5953323,9.09,8.9,8.97,3078,-0.9934,53553907.23
"	002430",杭氧股份,2015-01-29,深交所,8.97,8.93,14501348,9.39,8.86,9.18,6921,2.3411,133650088.64
"	002430",杭氧股份,2015-01-30,深交所,9.18,9.19,6619597,9.31,9.02,9.1,3619,-0.8715,60503885.38
"	002430",杭氧股份,2015-02-02,深交所,9.1,9,5470851,9.09,8.8,8.84,3102,-2.8571,48956515.37
"	002430",杭氧股份,2015-02-03,深交所,8.84,8.9,4026590,8.96,8.8,8.94,2415,1.1312,35732950.05
"	002430",杭氧股份,2015-02-04,深交所,8.94,8.95,4646256,9,8.75,8.77,2340,-1.9016,41192063.05
"	002430",杭氧股份,2015-02-05,深交所,8.77,8.8,5321184,8.88,8.66,8.7,2689,-0.7982,46575970.38
"	002430",杭氧股份,2015-02-06,深交所,8.7,8.68,4354788,8.74,8.52,8.57,2219,-1.4943,37604695.76
"	002430",杭氧股份,2015-02-09,深交所,8.57,8.57,3318073,8.64,8.44,8.54,1523,-0.3501,28362465.14
"	002430",杭氧股份,2015-02-10,深交所,8.54,8.54,2580233,8.67,8.5,8.67,1437,1.5222,22183040.74
"	002430",杭氧股份,2015-02-11,深交所,8.67,8.72,2441095,8.76,8.64,8.72,1244,0.5767,21225115.2
"	002430",杭氧股份,2015-02-12,深交所,8.72,8.72,2845077,8.81,8.7,8.75,1401,0.344,24936298.15
"	002430",杭氧股份,2015-02-13,深交所,8.75,8.76,4986465,8.92,8.76,8.87,2005,1.3714,44233593.87
"	002430",杭氧股份,2015-02-16,深交所,8.87,8.87,5503648,9.02,8.81,8.97,2435,1.1274,49203524.84
"	002430",杭氧股份,2015-02-17,深交所,8.97,8.96,4063268,9,8.9,8.97,1735,0,36307398.21
"	002430",杭氧股份,2015-02-25,深交所,8.97,8.99,4678076,9.02,8.91,8.95,2173,-0.223,41996231.9
"	002430",杭氧股份,2015-02-26,深交所,8.95,8.95,4761285,9.01,8.82,9.01,2511,0.6704,42416283.83
"	002430",杭氧股份,2015-02-27,深交所,9.01,9.01,9516458,9.26,8.99,9.11,4670,1.1099,86909763.34
"	002430",杭氧股份,2015-03-02,深交所,9.11,9.13,9474311,9.26,9.06,9.2,4217,0.9879,86564346.82
"	002430",杭氧股份,2015-03-03,深交所,9.2,9.24,12507523,9.35,9.1,9.2,5345,0,115315624.89
"	002430",杭氧股份,2015-03-04,深交所,9.2,9.19,22262792,10.05,9.14,9.77,10358,6.1957,213830033.31
"	002430",杭氧股份,2015-03-05,深交所,9.77,9.66,14349020,9.95,9.51,9.8,7215,0.3071,139405514.23
"	002430",杭氧股份,2015-03-06,深交所,9.8,9.78,8962731,9.94,9.51,9.53,5073,-2.7551,86777538.04
"	002430",杭氧股份,2015-03-09,深交所,9.53,9.45,7384152,9.79,9.41,9.72,4362,1.9937,71266935.89
"	002430",杭氧股份,2015-03-10,深交所,9.72,9.73,10700770,10,9.7,10,5217,2.8807,105452458.03
"	002430",杭氧股份,2015-03-11,深交所,10,10,8488931,10.12,9.81,9.83,4766,-1.7,84076017.37
"	002430",杭氧股份,2015-03-12,深交所,9.83,9.8,6120789,9.95,9.68,9.72,3768,-1.119,59804870.93
"	002430",杭氧股份,2015-03-13,深交所,9.72,9.72,7355076,10.06,9.7,9.92,4014,2.0576,72779785.73
"	002430",杭氧股份,2015-03-16,深交所,9.92,9.93,9858944,10.19,9.93,10.14,5231,2.2177,99210129.44
"	002430",杭氧股份,2015-03-17,深交所,10.14,10.17,11993132,10.41,10.03,10.24,6000,0.9862,122478735.11
"	002430",杭氧股份,2015-03-18,深交所,10.24,10.27,10376143,10.54,10.24,10.33,5282,0.8789,107563479.65
"	002430",杭氧股份,2015-03-19,深交所,10.33,10.29,8801245,10.36,10.11,10.25,4962,-0.7744,90032582.84
"	002430",杭氧股份,2015-03-20,深交所,10.25,10.36,13001671,10.69,10.27,10.5,6254,2.439,136448436.96
"	002430",杭氧股份,2015-03-23,深交所,10.5,10.49,14175202,10.9,10.48,10.73,6373,2.1905,151988754.54
"	002430",杭氧股份,2015-03-24,深交所,10.73,10.79,14860166,10.87,10.22,10.56,7258,-1.5843,156022888.65
"	002430",杭氧股份,2015-03-25,深交所,10.56,10.59,10729678,10.75,10.39,10.57,5869,0.0947,113005527.74
"	002430",杭氧股份,2015-03-26,深交所,10.57,10.57,10583704,10.68,10.4,10.61,5230,0.3784,111619012.83
"	002430",杭氧股份,2015-03-27,深交所,10.61,10.61,15956551,11.33,10.51,11.13,8480,4.901,175103712.35
"	002430",杭氧股份,2015-03-30,深交所,11.13,11.1,11025413,11.2,10.96,11.11,5704,-0.1797,121989706.46
"	002430",杭氧股份,2015-03-31,深交所,11.11,11.11,8916039,11.3,10.96,10.98,5397,-1.1701,98992796.54
"	002430",杭氧股份,2015-04-01,深交所,10.98,10.99,7694582,11.18,10.96,11.13,4208,1.3661,85243074.89
"	002430",杭氧股份,2015-04-02,深交所,11.13,11.14,16536722,12.19,11.14,11.68,8870,4.9416,193538304.53
"	002430",杭氧股份,2015-04-03,深交所,11.68,11.52,12373774,11.96,11.46,11.81,7377,1.113,145338459.04
"	002430",杭氧股份,2015-04-07,深交所,11.81,11.8,10940809,12.14,11.78,12.11,6345,2.5402,131609964.74
"	002430",杭氧股份,2015-04-08,深交所,12.11,12.2,12479797,12.2,11.61,11.84,7889,-2.2296,148010186.7
"	002430",杭氧股份,2015-04-09,深交所,11.84,11.84,13783051,11.84,10.99,11.35,7983,-4.1385,156120967.21
"	002430",杭氧股份,2015-04-10,深交所,11.35,11.3,12467571,11.6,11.15,11.55,5626,1.7621,142687031.73
"	002430",杭氧股份,2015-04-13,深交所,11.55,11.58,13265075,12.07,11.31,11.82,7191,2.3377,155224735.38
"	002430",杭氧股份,2015-04-14,深交所,11.82,11.75,22138562,13,11.65,13,10560,9.9831,270280481.16
"	002430",杭氧股份,2015-04-15,深交所,13,12.86,19150322,13.2,12.37,12.48,11183,-4,245706347.69
"	002430",杭氧股份,2015-04-16,深交所,12.48,12.3,11623353,12.72,12,12.52,7187,0.3205,144096464.22
"	002430",杭氧股份,2015-04-17,深交所,12.52,12.56,12944274,12.82,12.22,12.4,7378,-0.9585,161154394.41
"	002430",杭氧股份,2015-04-20,深交所,12.4,12.27,14455306,12.28,11.78,11.83,8713,-4.5968,174112718.42
"	002430",杭氧股份,2015-04-21,深交所,11.83,11.8,10849495,12.14,11.71,12.1,5604,2.2823,129714654.6
"	002430",杭氧股份,2015-04-22,深交所,12.1,12.11,14619487,12.59,12.11,12.58,8302,3.9669,180974966.95
"	002430",杭氧股份,2015-04-23,深交所,12.58,12.7,15393268,12.91,12.31,12.5,8947,-0.6359,193727494.48
"	002430",杭氧股份,2015-04-24,深交所,12.5,12.26,12393048,12.51,12.09,12.29,7179,-1.68,152169722.37
"	002430",杭氧股份,2015-04-27,深交所,12.29,12.47,15367203,12.89,12.4,12.53,8211,1.9528,193719156.34
"	002430",杭氧股份,2015-04-28,深交所,12.53,12.53,11617307,12.75,11.91,12.03,7408,-3.9904,142360697.36
"	002430",杭氧股份,2015-04-29,深交所,12.03,12.02,8186483,12.28,11.72,12.13,4934,0.8313,98415587.44
"	002430",杭氧股份,2015-04-30,深交所,12.13,12.12,11047038,12.55,12.1,12.19,6302,0.4946,136323551.98
