Date,SZ002372.Close
2010/03/18,26.77
2010/04/01,26.08
2010/05/04,19.67
2010/06/01,18.82
2010/07/01,17.93
2010/08/02,20.87
2010/09/01,20.62
2010/10/08,20.31
2010/11/01,21.82
2010/12/01,23.04
2011/01/04,20.71
2011/02/01,20.45
2011/03/01,21.22
2011/04/01,19.93
2011/05/03,18.08
2011/06/01,16.94
2011/07/01,18.65
2011/08/01,19.06
2011/09/01,19.2
2011/10/10,18.09
2011/11/01,18.57
2011/12/01,16.47
2012/01/04,15.24
2012/02/01,15.96
2012/03/01,17.09
2012/04/05,16.65
2012/05/02,15.74
2012/06/01,15.07
2012/07/02,13.5
2012/08/01,13.88
2012/09/03,13.91
2012/10/08,14.22
2012/11/01,13.84
2012/12/03,14.79
2013/01/04,16.63
2013/02/01,16.61
2013/03/01,15.78
2013/04/01,15.75
2013/05/02,17.41
2013/06/03,14.45
2013/07/01,11.59
2013/08/01,12.92
2013/09/02,14.51
2013/10/08,14.85
2013/11/01,13.73
2013/12/02,14.78
2014/01/02,14.3
2014/02/07,15.71
2014/03/03,14.95
2014/04/01,15.6
2014/05/05,13.98
2014/06/03,11.48
2014/07/01,12.25
2014/08/01,13.14
2014/09/01,13.24
2014/10/08,13.87
2014/11/03,13.57
2014/12/01,14.55
2015/01/05,17.43
2015/02/02,17.11
2015/03/02,17.76
2015/04/01,21.93
2015/05/04,22.77
2015/06/01,22.15
2015/07/01,16.67
2015/08/03,18.7
2015/09/01,14.91
2015/10/08,17.02
2015/11/02,17.91
2015/12/01,17.77
2016/01/04,14.95
2016/02/01,14.46
2016/03/01,17.38
2016/04/01,18.48
2016/05/03,17.43
2016/06/01,17.97
