Date,SZ002007.Close
2004/06/01,23.36
2004/07/01,18.53
2004/08/01,17.73
2004/09/01,17.93
2004/10/01,19.69
2004/11/01,18.85
2004/12/01,18.08
2005/01/01,15.96
2005/02/01,15.57
2005/03/01,17.49
2005/04/01,16.87
2005/05/01,11.63
2005/06/01,8.65
2005/07/01,8.27
2005/08/01,10.66
2005/09/01,12.14
2005/10/01,12.29
2005/11/01,11.78
2005/12/01,10.29
2006/01/01,11.33
2006/02/01,11.1
2006/03/01,10.97
2006/04/01,14.21
2006/05/01,17.03
2006/06/01,19.11
2006/07/01,21.16
2006/08/01,19.91
2006/09/01,23.11
2006/10/01,21.11
2006/11/01,16.64
2006/12/01,21.18
2007/01/01,26.59
2007/02/01,30.42
2007/03/01,33.57
2007/04/01,37.24
2007/05/01,37.49
2007/06/01,40.37
2007/07/01,39.07
2007/08/01,46.1
2007/09/01,51.74
2007/10/01,51.92
2007/11/01,41.21
2007/12/01,45.58
2008/01/01,52.02
2008/02/01,51.73
2008/03/01,47.18
2008/04/01,40.88
2008/05/01,42.36
2008/06/01,41.62
2008/07/01,40.86
2008/08/01,39.0
2008/09/01,34.5
2008/10/01,31.21
2008/11/01,32.45
2008/12/01,37.07
2009/01/01,39.14
2009/02/01,41.27
2009/03/01,42.06
2009/04/01,41.27
2009/05/01,28.3
2009/06/01,32.72
2009/07/01,34.82
2009/08/01,33.95
2009/09/01,50.11
2009/10/01,53.62
2009/11/01,62.05
2009/12/01,56.59
2010/01/01,57.36
2010/02/01,58.58
2010/03/01,64.37
2010/04/01,70.08
2010/05/01,66.79
2010/06/01,48.01
2010/07/01,44.43
2010/08/01,49.58
2010/09/01,50.38
2010/10/01,50.83
2010/11/01,53.68
2010/12/01,49.21
2011/01/01,44.36
2011/02/01,45.2
2011/03/01,43.25
2011/04/01,38.78
2011/05/01,35.28
2011/06/01,33.39
2011/07/01,32.97
2011/08/01,25.77
2011/09/01,24.79
2011/10/01,23.02
2011/11/01,26.29
2011/12/01,24.86
2012/01/01,23.08
2012/02/01,24.79
2012/03/01,25.1
2012/04/01,23.61
2012/05/01,23.86
2012/06/01,24.03
2012/07/01,25.28
2012/08/01,25.63
2012/09/01,25.76
2012/10/01,24.76
2012/11/01,22.07
2012/12/01,19.64
2013/01/01,23.55
2013/02/01,24.64
2013/03/01,24.76
2013/04/01,24.11
2013/05/01,24.87
2013/06/01,24.44
2013/07/01,25.36
2013/08/01,27.92
2013/09/01,27.19
2013/10/01,27.81
2013/11/01,26.38
2013/12/01,27.53
2014/01/01,29.37
2014/02/01,28.91
2014/03/01,26.83
2014/04/01,26.14
2014/05/01,24.74
2014/06/01,25.49
2014/07/01,26.59
2014/08/01,27.42
2014/09/01,27.76
2014/10/01,31.44
2014/11/01,34.88
2014/12/01,34.95
2015/01/01,35.67
2015/02/01,35.44
2015/03/01,39.73
2015/04/01,47.08
2015/05/01,59.33
2015/06/01,56.65
2015/07/01,44.56
2015/08/01,45.38
2015/09/01,36.87
2015/10/01,39.69
2015/11/01,41.63
2015/12/01,41.75
2016/01/01,39.96
2016/02/01,44.72
2016/03/01,42.65
2016/04/01,44.39
2016/05/01,49.23
2016/06/01,38.85
