Date,SZ002467.Close
2010/09/08,36.71
2010/10/08,32.9
2010/11/01,35.02
2010/12/01,33.99
2011/01/04,29.24
2011/02/01,30.34
2011/03/01,30.7
2011/04/01,29.71
2011/05/03,27.09
2011/06/01,24.96
2011/07/01,25.85
2011/08/01,26.74
2011/09/01,23.54
2011/10/10,23.16
2011/11/01,25.69
2011/12/01,23.44
2012/01/04,21.86
2012/02/01,23.02
2012/03/01,25.29
2012/04/05,25.29
2012/05/02,26.95
2012/06/01,12.19
2012/07/02,11.65
2012/08/01,11.77
2012/09/03,11.72
2012/10/08,10.27
2012/11/01,10.35
2012/12/03,9.64
2013/01/04,15.0
2013/02/01,16.05
2013/03/01,17.31
2013/04/01,17.83
2013/05/02,21.4
2013/06/03,18.73
2013/07/01,20.2
2013/08/01,21.63
2013/09/02,23.38
2013/10/08,26.26
2013/11/01,21.6
2013/12/02,20.18
2014/01/02,20.97
2014/02/07,24.36
2014/03/03,22.17
2014/04/01,20.29
2014/05/05,21.19
2014/06/03,11.18
2014/07/01,11.54
2014/08/01,12.33
2014/09/01,13.33
2014/10/08,13.48
2014/11/03,14.33
2014/12/01,14.46
2015/01/05,14.32
2015/02/02,17.1
2015/03/02,21.68
2015/04/01,25.96
2015/05/04,20.76
2015/06/01,24.97
2015/07/01,14.3
2015/08/03,13.04
2015/09/01,11.05
2015/10/08,13.67
2015/11/02,15.87
2015/12/01,18.11
2016/01/04,15.09
2016/02/01,13.37
2016/03/01,12.02
2016/04/01,14.22
2016/05/03,13.39
2016/06/01,14.01
