证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	300167",迪威视讯,2015-01-05,深交所,13.25,13.24,2276817,13.24,12.53,13.17,1153,-0.6038,29402180.71
"	300167",迪威视讯,2015-01-06,深交所,13.17,13.01,2298720,13.48,12.9,13.38,1284,1.5945,30314887.3
"	300167",迪威视讯,2015-01-07,深交所,13.38,13.35,1463486,13.36,12.96,13.09,910,-2.1674,19160859.26
"	300167",迪威视讯,2015-01-08,深交所,13.09,13.05,1367894,13.3,12.82,12.88,925,-1.6043,17733417.5
"	300167",迪威视讯,2015-01-09,深交所,12.88,12.88,1373229,13.04,12.64,12.65,956,-1.7857,17647806.05
"	300167",迪威视讯,2015-01-12,深交所,12.65,12.58,1226158,12.58,12.2,12.23,762,-3.3202,15101874.34
"	300167",迪威视讯,2015-01-13,深交所,12.23,12.35,1520752,12.83,12.3,12.78,963,4.4971,19258809.24
"	300167",迪威视讯,2015-01-14,深交所,12.78,12.8,1499689,12.8,12.45,12.68,861,-0.7825,18866523.32
"	300167",迪威视讯,2015-01-15,深交所,12.68,12.62,1026479,12.8,12.5,12.66,641,-0.1577,12986209.76
"	300167",迪威视讯,2015-01-16,深交所,12.66,12.68,1937669,13.07,12.66,13.06,1126,3.1596,25018328.54
"	300167",迪威视讯,2015-01-19,深交所,13.06,12.96,4958500,13.72,12.83,13.23,2332,1.3017,66248770.11
"	300167",迪威视讯,2015-01-20,深交所,13.23,13.49,3410964,13.86,13.31,13.8,1831,4.3084,46737762.04
"	300167",迪威视讯,2015-01-21,深交所,13.8,14,6824626,15.18,13.98,15.18,2899,10,101398731.93
"	300167",迪威视讯,2015-01-22,深交所,15.18,15.8,10187705,15.8,15.2,15.49,4564,2.0422,157655337.77
"	300167",迪威视讯,2015-01-23,深交所,15.49,15.38,8698325,16.3,15.03,15.95,4609,2.9697,137588516.1
"	300167",迪威视讯,2015-01-26,深交所,15.95,15.95,5084016,16.28,15.71,16.03,2635,0.5016,81104150.67
"	300167",迪威视讯,2015-01-27,深交所,16.03,15.86,4658777,16.06,15.15,15.52,2529,-3.1815,72722761.32
"	300167",迪威视讯,2015-01-28,深交所,15.52,15.48,4399451,16.15,15.1,15.71,2076,1.2242,69099553.79
"	300167",迪威视讯,2015-01-29,深交所,15.71,15.6,2130017,15.88,15.35,15.71,1335,0,33298872.89
"	300167",迪威视讯,2015-01-30,深交所,15.71,15.82,1439544,15.82,15.35,15.47,924,-1.5277,22399806.06
