证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	300298",三诺生物,2015-01-05,深交所,31.46,31.54,1204427,31.54,30.73,31.29,2101,-0.5404,37444960.3
"	300298",三诺生物,2015-01-06,深交所,31.29,31.3,2868079,33.7,31.25,33.24,3843,6.232,93654728.83
"	300298",三诺生物,2015-01-07,深交所,33.24,33.2,2069685,33.5,31.99,32.35,3356,-2.6775,67435750.92
"	300298",三诺生物,2015-01-08,深交所,32.35,32.19,2077293,33.3,32,32.7,2582,1.0819,67907986.74
"	300298",三诺生物,2015-01-09,深交所,32.7,32.6,2601410,33.1,32.36,32.4,2929,-0.9174,85260114.49
"	300298",三诺生物,2015-01-12,深交所,32.4,32.42,2364404,32.42,31.32,31.6,3242,-2.4691,74970845.41
"	300298",三诺生物,2015-01-13,深交所,31.6,31.6,2404477,32.86,31.35,32.74,3729,3.6076,77031919.2
"	300298",三诺生物,2015-01-14,深交所,32.74,32.98,3427942,33.67,32.38,33.25,4259,1.5577,113717900.98
"	300298",三诺生物,2015-01-15,深交所,33.25,33.1,1504283,33.48,32.7,32.88,2461,-1.1128,49482250.8
"	300298",三诺生物,2015-01-16,深交所,32.88,32.9,2154997,34.07,32.81,33.8,3407,2.7981,72352490.91
"	300298",三诺生物,2015-01-19,深交所,33.8,33.1,6398128,36.59,32.88,35.1,8374,3.8462,226360791.27
"	300298",三诺生物,2015-01-20,深交所,35.1,35.68,4699416,36.62,35.07,36.6,6281,4.2735,169446673.83
"	300298",三诺生物,2015-01-21,深交所,36.6,36.8,5533246,38.3,36.63,37.4,7545,2.1858,208256826.27
"	300298",三诺生物,2015-01-22,深交所,37.4,37.49,2288161,37.9,37.06,37.34,3455,-0.1604,85435623.14
"	300298",三诺生物,2015-01-23,深交所,37.34,37.3,2984366,37.59,36,36.2,4030,-3.053,109377859.17
"	300298",三诺生物,2015-01-26,深交所,36.2,36.5,3201862,37.05,35.79,36.98,3931,2.1547,116874900.73
"	300298",三诺生物,2015-01-27,深交所,36.98,36.98,3744313,38.25,36.52,37.74,5075,2.0552,140878153.25
