Date,SZ000858.Volume
2001/08/08,899100.0
2001/09/03,1601300.0
2001/10/08,1170900.0
2001/11/01,962300.0
2001/12/03,2595200.0
2002/01/04,1984350.0
2002/02/01,1792200.0
2002/03/01,2601100.0
2002/04/01,918200.0
2002/05/08,960050.0
2002/06/03,922100.0
2002/07/01,957500.0
2002/08/01,930950.0
2002/09/02,1194150.0
2002/10/08,904250.0
2002/11/01,1075700.0
2002/12/02,1149950.0
2003/01/02,1733000.0
2003/02/10,800300.0
2003/03/03,822500.0
2003/04/01,3082200.0
2003/05/12,3476600.0
2003/06/02,3267900.0
2003/07/01,2450200.0
2003/08/01,1741900.0
2003/09/01,1357275.0
2003/10/08,1593144.5
2003/11/03,1926393.5
2003/12/01,3996484.0
2004/01/02,4564600.0
2004/02/02,4839280.5
2004/03/01,5947283.0
2004/04/01,1.19217135E7
2004/05/10,4828350.0
2004/06/01,2925200.0
2004/07/01,3484752.0
2004/08/02,1802740.0
2004/09/01,6116225.5
2004/10/08,1.5322046E7
2004/11/01,4122728.5
2004/12/01,3028333.0
2005/01/04,2545381.5
2005/02/01,7052150.0
2005/03/01,6258487.0
2005/04/01,8942622.0
2005/05/09,5124156.0
2005/06/01,6823991.5
2005/07/01,5099137.0
2005/08/01,1.0666214E7
2005/09/01,6319534.0
2005/10/10,5149864.0
2005/11/01,2461932.5
2005/12/01,4157811.5
2006/01/04,1.10056405E7
2006/02/06,0.0
2006/03/01,0.0
2006/04/03,4.1698714E7
2006/05/08,5.48347405E7
2006/06/01,2.61519585E7
2006/07/03,1.4942846E7
2006/08/01,8680871.0
2006/09/01,6476023.0
2006/10/09,1.3872691E7
2006/11/01,2.4209361E7
2006/12/01,2.4139306E7
2007/01/04,3.06442965E7
2007/02/01,2.328847E7
2007/03/01,2.6848673E7
2007/04/02,3.9012203E7
2007/05/08,6.3010164E7
2007/06/01,4.1809759E7
2007/07/02,2.90336715E7
2007/08/01,3.6825034E7
2007/09/03,3.492806E7
2007/10/08,2.69244945E7
2007/11/01,1.3217572E7
2007/12/03,1.709673E7
2008/01/02,2.3782847E7
2008/02/01,1.7214576E7
2008/03/03,1.5733253E7
2008/04/01,3.3975449E7
2008/05/05,2.1265027E7
2008/06/02,1.70839065E7
2008/07/01,1.7079607E7
2008/08/01,1.1413389E7
2008/09/01,1.5405579E7
2008/10/06,1.461413E7
2008/11/03,3.24560945E7
2008/12/01,2.6250761E7
2009/01/05,2.7156089E7
2009/02/02,6.31760415E7
2009/03/02,4.02159935E7
2009/04/01,5.3963522E7
2009/05/04,3.8540173E7
2009/06/01,5.59332695E7
2009/07/01,4.752918E7
2009/08/03,3.951737E7
2009/09/01,4.76108025E7
2009/10/09,3.97934875E7
2009/11/02,4.7632951E7
2009/12/01,3.6014717E7
2010/01/04,2.91181635E7
2010/02/01,1.5356624E7
2010/03/01,1.7797335E7
2010/04/01,2.5625034E7
2010/05/04,1.4376543E7
2010/06/01,1.2530578E7
2010/07/01,1.43090875E7
2010/08/02,2.2133059E7
2010/09/01,1.8347135E7
2010/10/08,3.79138835E7
2010/11/01,3.5680029E7
2010/12/01,2.5732275E7
2011/01/04,2.0019758E7
2011/02/01,2.2572272E7
2011/03/01,2.1880794E7
2011/04/01,1.8504689E7
2011/05/03,1.7736442E7
2011/06/01,1.9191684E7
2011/07/01,2.27169E7
2011/08/01,1.9787846E7
2011/09/01,1.1918994E7
2011/10/10,1.2698452E7
2011/11/01,1.70632895E7
2011/12/01,1.3801936E7
2012/01/04,1.7882935E7
2012/02/01,1.5770264E7
2012/03/01,1.80820995E7
2012/04/05,1.3420047E7
2012/05/02,2.22868285E7
2012/06/01,1.30464835E7
2012/07/02,2.87829895E7
2012/08/01,1.7048709E7
2012/09/03,1.37139525E7
2012/10/08,1.53508225E7
2012/11/01,2.21094255E7
2012/12/03,4.8595785E7
2013/01/04,4.40106565E7
2013/02/01,4.0202774E7
2013/03/01,2.4163639E7
2013/04/01,1.98263805E7
2013/05/02,2.1962605E7
2013/06/03,1.7561869E7
2013/07/01,1.4597843E7
2013/08/01,1.90489225E7
2013/09/02,2.1672763E7
2013/10/08,1.68351205E7
2013/11/01,1.4957424E7
2013/12/02,1.33338215E7
2014/01/02,1.6649868E7
2014/02/07,2.25113725E7
2014/03/03,3.0551824E7
2014/04/01,1.623564E7
2014/05/05,9079112.0
2014/06/03,9533435.0
2014/07/01,1.8113705E7
2014/08/01,1.7342361E7
2014/09/01,1.9741777E7
2014/10/08,2.1153327E7
2014/11/03,2.89391E7
2014/12/01,8.2427045E7
2015/01/05,5.24467315E7
2015/02/02,3.0580687E7
2015/03/02,5.2874488E7
2015/04/01,7.9232775E7
2015/05/04,5.9076186E7
2015/06/01,8.8651067E7
2015/07/01,7.6192041E7
2015/08/03,0.0
2015/09/01,0.0
2015/10/08,0.0
2015/11/02,3.2541204E7
2015/12/01,2.5878947E7
2016/01/04,2.026204E7
2016/02/01,1.55855125E7
2016/03/01,2.7229829E7
2016/04/01,1.92160445E7
2016/05/03,2.9037866E7
2016/06/01,1.9836856E7
